Corner,cap_scs,mos_scs,res_scs,vdd,vss,AC_Gain_abs,AC_Gain_at_DC,BW_3dB,PM,Z_in,Z_out,DC_Bias_Output,In_Ref_noise,PSRR_P_1MHz,PSRR_N_1MHz,Vout_Mid_Point,Max_Vout_Sin,Min_Vout_Sin,SlewRate_Pos,SlewRate_Neg,HD2,HD3,Vout_Swing
Proc_Vol_min_59,tm,ws,tm,2.75,-2.25,9.805,19.83,131500000,57.16,3256000,1191,0.3534,4.392e-08,2.142e-07,2.485e-07,0.2856,1.211,-0.6399,508000000,-515800000,-39.86,-48.21,1.851
Proc_Vol_min_60,tm,ws,tm,2.5,-2.75,9.9,19.91,115600000,58.98,3309000,1363,-0.2289,4.38e-08,2.281e-07,2.619e-07,-0.2634,0.6753,-1.202,375200000,-384400000,-45.72,-48.85,1.877
Proc_Vol_min_61,tm,ws,tm,2.25,-2.75,8.29,18.37,99330000,66.93,3296000,1570,-0.4135,4.659e-08,2.36e-07,2.657e-07,-0.426,0.3769,-1.229,239400000,-245500000,-54.54,-54.88,1.606
Proc_Vol_min_62,tm,ws,tm,2.75,-2.75,10.62,20.52,129900000,55.38,3322000,1212,-0.05026,4.355e-08,2.208e-07,2.596e-07,-0.1079,0.898,-1.114,516000000,-520100000,-41.26,-48.07,2.012
Proc_Vol_min_63,wp,ws,tm,2.5,-2.5,9.398,19.46,116000000,60.09,3286000,1357,-0.0223,4.432e-08,2.242e-07,2.575e-07,-0.06076,0.8308,-0.9523,368700000,-379000000,-44.78,-49.41,1.783
Proc_Vol_min_64,wp,ws,tm,2.25,-2.5,7.695,17.72,99310000,69.21,3277000,1569,-0.2034,4.792e-08,2.311e-07,2.624e-07,-0.219,0.5289,-0.9669,231700000,-236800000,-52.6,-56.58,1.496
Proc_Vol_min_65,wp,ws,tm,2.75,-2.5,10.24,20.2,130600000,56.21,3294000,1203,0.1537,4.371e-08,2.183e-07,2.534e-07,0.09144,1.06,-0.8769,512100000,-518800000,-40.59,-48.14,1.937
Proc_Vol_min_66,wp,ws,tm,2.5,-2.25,8.839,18.93,116600000,61.34,3257000,1347,0.181,4.499e-08,2.192e-07,2.535e-07,0.1382,0.9775,-0.7012,361500000,-371700000,-43.85,-50.09,1.679
Proc_Vol_min_67,wp,ws,tm,2.25,-2.25,7.068,16.99,99480000,71.58,3253000,1564,0.004156,4.956e-08,2.255e-07,2.591e-07,-0.01462,0.6747,-0.704,223200000,-228000000,-51.02,-58.5,1.379
Proc_Vol_min_68,wp,ws,tm,2.75,-2.25,9.805,19.83,131500000,57.16,3256000,1191,0.3534,4.392e-08,2.142e-07,2.485e-07,0.2856,1.211,-0.6399,508000000,-515800000,-39.86,-48.21,1.851
Proc_Vol_min_69,wp,ws,tm,2.5,-2.75,9.9,19.91,115600000,58.98,3309000,1363,-0.2289,4.38e-08,2.281e-07,2.619e-07,-0.2634,0.6753,-1.202,375200000,-384400000,-45.72,-48.85,1.877
