Corner,VDD,VSS,cap_scs,mos_scs,res_scs,DCGain,GBW,PM,Zin_val,Zout_val,ICMR_Max,ICMR_Min,Out_Swing_Max,Out_Swing_Min,PSRR_VDD_1MHz,PSRR_VSS_1MHz,Vout_Sin_Max,Vout_Sin_Min,Iout_Sin_Max,Iout_Sin_Min
PV_48,2.25,-2.5,ws,wp,tm,28.97,5770000,78.88,8720000,3.999,1.872,-2.212,2.087,-2.212,1.687e-05,0.0001573,1.478,-1.513,0.03026,-0.02956
PV_49,2.5,-2.5,ws,wp,tm,26,4566000,83.55,8062000,3.698,2.086,-2.256,2.326,-2.256,2.142e-05,0.0001997,pending,pending,pending,pending
PV_50,2.75,-2.5,ws,wp,tm,24.39,4109000,86.23,7593000,3.443,2.294,-2.285,2.564,-2.285,2.382e-05,0.000222,pending,pending,pending,pending
PV_51,2.25,-2.75,ws,wp,tm,28.61,6087000,79.45,8092000,3.701,1.855,-2.462,2.075,-2.462,1.365e-05,0.00015,pending,pending,pending,pending
PV_52,2.5,-2.75,ws,wp,tm,26.07,4978000,83.68,7552000,3.446,2.068,-2.501,2.313,-2.501,1.671e-05,0.0001834,pending,pending,pending,pending
PV_53,2.75,-2.75,ws,wp,tm,24.75,4590000,86.1,7162000,3.228,2.275,-2.512,2.551,-2.529,1.812e-05,0.0001989,pending,pending,pending,pending
PV_54,2.25,-2.25,tm,ws,tm,33.41,5598000,70.07,11370000,5.677,1.888,-1.631,2.092,-1.631,5.786e-05,0.0001405,1.478,-1.46,0.02919,-0.02957
PV_55,2.5,-2.25,tm,ws,tm,33.43,6056000,71.14,10820000,5.164,2.103,-1.801,2.33,-1.801,5.308e-05,0.000131,1.48,-1.478,0.02957,-0.02961
PV_56,2.75,-2.25,tm,ws,tm,31.67,5617000,74.84,10090000,4.74,2.311,-1.913,2.568,-1.913,5.739e-05,0.0001453,1.481,-1.486,0.02973,-0.02962
PV_57,2.25,-2.5,tm,ws,tm,34.24,6679000,69.38,10710000,5.169,1.874,-1.886,2.081,-1.886,4.682e-05,0.0001172,1.477,-1.511,0.03023,-0.02955
