Corner,cap_scs,mos_scs,res_scs,DC_Gain_dB,BW_3dB,PM,Zin_1MHz,Zout_1MHz,DC_Gain_Abs,DC_Bias_Output,In_Ref_Noise,PSRR_P,PSRR_N,HD2,HD3,Iout_p2p,Gm,Iout_Sin_Max,Iout_Sin_Min,SR_Pos,SR_Neg,VDD,VSS
PV_max_309,ws,wp,wp,24.23,17650000,24.52,3550000,0.8167,16.27,-0.1419,3.238e-08,5.515e-05,5.477e-05,-39.5,-33.5,0.05742,0.2871,0.02581,-0.03161,13300000,-15110000,2.5,-2.25
PV_max_310,ws,wp,wp,24.91,15230000,23.64,3598000,0.9612,17.61,-0.3649,2.971e-08,5.099e-05,5.14e-05,-27.95,-26.49,0.05861,0.293,0.02438,-0.03423,6486000,-5907000,2.25,-2.25
PV_max_311,ws,wp,wp,23.62,19780000,27.88,3528000,0.7076,15.17,0.06997,3.473e-08,5.934e-05,5.852e-05,-36.6,-37.04,0.0544,0.272,0.02756,-0.02684,17600000,-19480000,2.75,-2.25
PV_max_312,ws,wp,wp,24.6,20410000,22.31,3597000,0.6364,16.98,-0.5794,3.259e-08,5.431e-05,5.284e-05,-40.28,-34.24,0.06004,0.3002,0.01905,-0.04099,13890000,-18460000,2.5,-2.75
PV_max_313,ws,wp,wp,25.28,18160000,18.33,3635000,0.7284,18.36,-0.8083,2.996e-08,5.01e-05,4.947e-05,-27.11,-27.51,0.06219,0.311,0.01798,-0.04421,6729000,-7059000,2.25,-2.75
PV_max_314,ws,wp,wp,23.97,22340000,24.92,3584000,0.5646,15.79,-0.3652,3.491e-08,5.841e-05,5.642e-05,-43.26,-36.93,0.05658,0.2829,0.02057,-0.03601,18230000,-23090000,2.75,-2.75
PV_max_315,ws,wp,ws,24.43,19100000,23.25,3575000,0.7166,16.66,-0.3582,3.248e-08,5.491e-05,5.37e-05,-40.98,-33.98,0.05892,0.2946,0.02257,-0.03635,13760000,-16850000,2.5,-2.5
PV_max_316,ws,wp,ws,25.1,16670000,21.09,3617000,0.8309,18,-0.585,2.983e-08,5.069e-05,5.032e-05,-27.48,-26.98,0.06058,0.3029,0.02133,-0.03924,6649000,-6473000,2.25,-2.5
PV_max_317,ws,wp,ws,23.82,21100000,26.45,3558000,0.6288,15.52,-0.1437,3.482e-08,5.907e-05,5.736e-05,-39.27,-37.13,0.05566,0.2783,0.02422,-0.03144,18060000,-21170000,2.75,-2.5
PV_max_318,ws,wp,ws,24.23,17650000,24.52,3550000,0.8167,16.27,-0.1419,3.238e-08,5.515e-05,5.477e-05,-39.5,-33.5,0.05742,0.2871,0.02581,-0.03161,13300000,-15110000,2.5,-2.25
PV_max_319,ws,wp,ws,24.91,15230000,23.64,3598000,0.9612,17.61,-0.3649,2.971e-08,5.099e-05,5.14e-05,-27.95,-26.49,0.05861,0.293,0.02438,-0.03423,6486000,-5907000,2.25,-2.25
PV_max_320,ws,wp,ws,23.62,19780000,27.88,3528000,0.7076,15.17,0.06997,3.473e-08,5.934e-05,5.852e-05,-36.6,-37.04,0.0544,0.272,0.02756,-0.02684,17600000,-19480000,2.75,-2.25
PV_max_321,ws,wp,ws,24.6,20410000,22.31,3597000,0.6364,16.98,-0.5794,3.259e-08,5.431e-05,5.284e-05,-40.28,-34.24,0.06004,0.3002,0.01905,-0.04099,13890000,-18460000,2.5,-2.75
PV_max_322,ws,wp,ws,25.28,18160000,18.33,3635000,0.7284,18.36,-0.8083,2.996e-08,5.01e-05,4.947e-05,-27.11,-27.51,0.06219,0.311,0.01798,-0.04421,6729000,-7059000,2.25,-2.75
PV_max_323,ws,wp,ws,23.97,22340000,24.92,3584000,0.5646,15.79,-0.3652,3.491e-08,5.841e-05,5.642e-05,-43.26,-36.93,0.05658,0.2829,0.02057,-0.03601,18230000,-23090000,2.75,-2.75
PV_max_324,ws,ws,tm,24.68,12470000,26.7,3393000,1.237,17.14,-0.3915,3.371e-08,4.781e-05,5.235e-05,-28.43,-27.94,0.05957,0.2978,0.0235,-0.03606,10010000,-9526000,2.5,-2.5
PV_max_325,ws,ws,tm,25.52,10580000,24.03,3439000,1.466,18.87,-0.5948,3.094e-08,4.321e-05,4.809e-05,-19.15,-23.06,0.05993,0.2996,0.02365,-0.03628,4800000,-3112000,2.25,-2.5
PV_max_326,ws,ws,tm,23.96,13960000,30.17,3379000,1.064,15.77,-0.1972,3.617e-08,5.208e-05,5.633e-05,-37.78,-36.33,0.05693,0.2847,0.02428,-0.03266,13270000,-13080000,2.75,-2.5
PV_max_327,ws,ws,tm,24.51,11440000,28.01,3372000,1.437,16.8,-0.1732,3.354e-08,4.758e-05,5.307e-05,-27.54,-27.11,0.05797,0.2898,0.02688,-0.03109,9154000,-8502000,2.5,-2.25
PV_max_328,ws,ws,tm,25.39,9711000,26.21,3424000,1.732,18.59,-0.3726,3.074e-08,4.295e-05,4.87e-05,-18.89,-23.66,0.0579,0.2895,0.02684,-0.03107,4520000,-2815000,2.25,-2.25
PV_max_329,ws,ws,tm,23.8,13040000,31.64,3353000,1.219,15.48,0.01784,3.603e-08,5.191e-05,5.72e-05,-35.43,-35.66,0.0558,0.279,0.02774,-0.02805,12050000,-11710000,2.75,-2.25
PV_max_330,ws,ws,tm,24.81,13390000,25.77,3412000,1.079,17.4,-0.6125,3.386e-08,4.786e-05,5.176e-05,-29.23,-28.88,0.06084,0.3042,0.01987,-0.04096,10770000,-10550000,2.5,-2.75
PV_max_331,ws,ws,tm,25.65,11660000,21.57,3452000,1.26,19.17,-0.8188,3.112e-08,4.33e-05,4.76e-05,-19.56,-23.09,0.06162,0.3081,0.02016,-0.04147,5031000,-3427000,2.25,-2.75
PV_max_332,ws,ws,tm,24.08,14840000,28.57,3402000,0.9403,16,-0.4166,3.629e-08,5.206e-05,5.563e-05,-40.24,-36.71,0.05777,0.2888,0.02057,-0.0372,14390000,-14480000,2.75,-2.75
PV_max_333,ws,ws,wp,24.68,12470000,26.7,3393000,1.237,17.14,-0.3915,3.371e-08,4.781e-05,5.235e-05,-28.43,-27.94,0.05957,0.2978,0.0235,-0.03606,10010000,-9526000,2.5,-2.5
PV_max_334,ws,ws,wp,25.52,10580000,24.03,3439000,1.466,18.87,-0.5948,3.094e-08,4.321e-05,4.809e-05,-19.15,-23.06,0.05993,0.2996,0.02365,-0.03628,4800000,-3112000,2.25,-2.5
PV_max_335,ws,ws,wp,23.96,13960000,30.17,3379000,1.064,15.77,-0.1972,3.617e-08,5.208e-05,5.633e-05,-37.78,-36.33,0.05693,0.2847,0.02428,-0.03266,13270000,-13080000,2.75,-2.5
PV_max_336,ws,ws,wp,24.51,11440000,28.01,3372000,1.437,16.8,-0.1732,3.354e-08,4.758e-05,5.307e-05,-27.54,-27.11,0.05797,0.2898,0.02688,-0.03109,9154000,-8502000,2.5,-2.25
PV_max_337,ws,ws,wp,25.39,9711000,26.21,3424000,1.732,18.59,-0.3726,3.074e-08,4.295e-05,4.87e-05,-18.89,-23.66,0.0579,0.2895,0.02684,-0.03107,4520000,-2815000,2.25,-2.25
PV_max_338,ws,ws,wp,23.8,13040000,31.64,3353000,1.219,15.48,0.01784,3.603e-08,5.191e-05,5.72e-05,-35.43,-35.66,0.0558,0.279,0.02774,-0.02805,12050000,-11710000,2.75,-2.25
PV_max_339,ws,ws,wp,24.81,13390000,25.77,3412000,1.079,17.4,-0.6125,3.386e-08,4.786e-05,5.176e-05,-29.23,-28.88,0.06084,0.3042,0.01987,-0.04096,10770000,-10550000,2.5,-2.75
PV_max_340,ws,ws,wp,25.65,11660000,21.57,3452000,1.26,19.17,-0.8188,3.112e-08,4.33e-05,4.76e-05,-19.56,-23.09,0.06162,0.3081,0.02016,-0.04147,5031000,-3427000,2.25,-2.75
PV_max_341,ws,ws,wp,24.08,14840000,28.57,3402000,0.9403,16,-0.4166,3.629e-08,5.206e-05,5.563e-05,-40.24,-36.71,0.05777,0.2888,0.02057,-0.0372,14390000,-14480000,2.75,-2.75
PV_max_342,ws,ws,ws,24.68,12470000,26.7,3393000,1.237,17.14,-0.3915,3.371e-08,4.781e-05,5.235e-05,-28.43,-27.94,0.05957,0.2978,0.0235,-0.03606,10010000,-9526000,2.5,-2.5
