Corner,VDD,VSS,cap_scs,mos_scs,res_scs,temperature,DCGain,GBW,PM,Zin_val,Zout_val,ICMR_Max,ICMR_Min,Out_Swing_Max,Out_Swing_Min,PSRR_VDD_1MHz,PSRR_VSS_1MHz,Vout_Sin_Max,Vout_Sin_Min,Iout_Sin_Max,Iout_Sin_Min
PVT_145,2.25,-2.5,ws,wp,tm,-25,28.67,6315000,78.91,7516000,3.342,1.892,-2.261,2.103,-2.261,1.214e-05,0.0001471,1.48,-1.512,0.03025,-0.02961
PVT_146,2.25,-2.5,ws,wp,tm,85,29.37,5358000,78.44,9889000,4.698,1.854,-2.156,2.073,-2.156,2.311e-05,0.000164,1.476,-1.514,0.03027,-0.02951
PVT_147,2.5,-2.5,ws,wp,tm,25,25.99,4579000,83.57,8022000,3.675,2.087,-2.258,2.327,-2.258,2.117e-05,0.0001992,pending,pending,pending,pending
PVT_148,2.5,-2.5,ws,wp,tm,-25,25.84,5006000,83.89,6957000,3.083,2.109,-2.298,2.343,-2.298,1.531e-05,0.0001852,pending,pending,pending,pending
PVT_149,2.5,-2.5,ws,wp,tm,85,26.29,4232000,82.95,9162000,4.356,2.068,-2.21,2.311,-2.21,2.943e-05,0.0002099,pending,pending,pending,pending
PVT_150,2.75,-2.5,ws,wp,tm,25,24.39,4122000,86.25,7555000,3.422,2.295,-2.287,2.565,-2.287,2.353e-05,0.0002214,pending,pending,pending,pending
PVT_151,2.75,-2.5,ws,wp,tm,-25,24.37,4538000,86.69,6560000,2.866,2.319,-2.322,2.582,-2.322,1.689e-05,0.0002041,pending,pending,pending,pending
PVT_152,2.75,-2.5,ws,wp,tm,85,24.5,3769000,85.79,8629000,4.065,2.274,-2.245,2.549,-2.245,3.321e-05,0.0002375,pending,pending,pending,pending
PVT_153,2.25,-2.75,ws,wp,tm,25,28.59,6100000,79.46,8049000,3.678,1.855,-2.464,2.076,-2.464,1.349e-05,0.0001498,pending,pending,pending,pending
PVT_154,2.25,-2.75,ws,wp,tm,-25,28.22,6555000,79.96,6940000,3.086,1.875,-2.51,2.091,-2.512,9.735e-06,0.000142,pending,pending,pending,pending
PVT_155,2.25,-2.75,ws,wp,tm,85,29.2,5761000,78.9,9259000,4.36,1.838,-2.404,2.06,-2.404,1.886e-05,0.0001532,pending,pending,pending,pending
