Corner,cap_scs,mos_scs,res_scs,DC_Gain_dB,BW_3dB,PM,Zin_1MHz,Zout_1MHz,DC_Gain_Abs,DC_Bias_Output,In_Ref_Noise,PSRR_P,PSRR_N,HD2,HD3,Iout_p2p,Gm,Iout_Sin_Max,Iout_Sin_Min,SR_Pos,SR_Neg,VDD,VSS
PV_mid_67,tm,ws,wp,22.27,10200000,40.59,3324000,1.686,12.98,-0.1613,3.515e-08,5.771e-05,6.735e-05,-35.07,-36.39,0.04662,0.2331,0.01988,-0.02674,4705000,-4844000,2.25,-2.25
PV_mid_68,tm,ws,wp,22.09,13400000,40.06,3310000,1.199,12.72,0.2028,3.911e-08,5.928e-05,6.697e-05,-34.05,-40.97,0.04651,0.2325,0.02593,-0.02057,11790000,-11890000,2.75,-2.25
PV_mid_69,tm,ws,wp,22.88,13880000,34.82,3361000,1.06,13.93,-0.4002,3.718e-08,5.638e-05,6.231e-05,-39.64,-39.43,0.05057,0.2528,0.01681,-0.03376,10040000,-11630000,2.5,-2.75
PV_mid_70,tm,ws,wp,23.01,12360000,34,3362000,1.23,14.14,-0.5924,3.501e-08,5.541e-05,6.235e-05,-37.43,-36.35,0.05081,0.254,0.0138,-0.037,5270000,-5910000,2.25,-2.75
PV_mid_71,tm,ws,wp,22.54,15240000,36.13,3367000,0.9274,13.4,-0.2152,3.923e-08,5.859e-05,6.381e-05,-36.88,-41.13,0.04908,0.2454,0.01925,-0.02983,13630000,-14730000,2.75,-2.75
PV_mid_72,tm,ws,ws,22.63,12950000,36.32,3340000,1.213,13.54,-0.1868,3.713e-08,5.694e-05,6.391e-05,-37.5,-39.3,0.04913,0.2456,0.02015,-0.02898,9497000,-10460000,2.5,-2.5
PV_mid_73,tm,ws,ws,22.65,11310000,37.41,3344000,1.429,13.57,-0.3757,3.505e-08,5.649e-05,6.455e-05,-36.36,-36.26,0.04887,0.2444,0.01695,-0.03192,5014000,-5379000,2.25,-2.5
PV_mid_74,tm,ws,ws,22.34,14340000,38.15,3342000,1.049,13.09,-0.004022,3.917e-08,5.898e-05,6.524e-05,-35.45,-41.12,0.04791,0.2395,0.0227,-0.0252,12820000,-13310000,2.75,-2.5
PV_mid_75,tm,ws,ws,22.32,11930000,39.49,3314000,1.408,13.06,0.02353,3.71e-08,5.747e-05,6.587e-05,-35.52,-39.1,0.04742,0.2371,0.02327,-0.02415,8797000,-9288000,2.5,-2.25
PV_mid_76,tm,ws,ws,22.27,10200000,40.59,3324000,1.686,12.98,-0.1613,3.515e-08,5.771e-05,6.735e-05,-35.07,-36.39,0.04662,0.2331,0.01988,-0.02674,4705000,-4844000,2.25,-2.25
PV_mid_77,tm,ws,ws,22.09,13400000,40.06,3310000,1.199,12.72,0.2028,3.911e-08,5.928e-05,6.697e-05,-34.05,-40.97,0.04651,0.2325,0.02593,-0.02057,11790000,-11890000,2.75,-2.25
PV_mid_78,tm,ws,ws,22.88,13880000,34.82,3361000,1.06,13.93,-0.4002,3.718e-08,5.638e-05,6.231e-05,-39.64,-39.43,0.05057,0.2528,0.01681,-0.03376,10040000,-11630000,2.5,-2.75
PV_mid_79,tm,ws,ws,23.01,12360000,34,3362000,1.23,14.14,-0.5924,3.501e-08,5.541e-05,6.235e-05,-37.43,-36.35,0.05081,0.254,0.0138,-0.037,5270000,-5910000,2.25,-2.75
PV_mid_80,tm,ws,ws,22.54,15240000,36.13,3367000,0.9274,13.4,-0.2152,3.923e-08,5.859e-05,6.381e-05,-36.88,-41.13,0.04908,0.2454,0.01925,-0.02983,13630000,-14730000,2.75,-2.75
PV_mid_81,tm,wo,tm,21.11,13820000,43.28,3413000,1.142,11.37,-0.3232,3.868e-08,6.904e-05,7.729e-05,-45.99,-42.12,0.0415,0.2075,0.01414,-0.02736,8757000,-11540000,2.5,-2.5
PV_mid_82,tm,wo,tm,19.56,12180000,49.97,3422000,1.345,9.511,-0.5145,4.018e-08,8.228e-05,9.352e-05,-46.81,-47.89,0.03568,0.1784,0.007781,-0.0279,4606000,-6823000,2.25,-2.5
PV_mid_83,tm,wo,tm,21.69,15290000,41.88,3413000,0.9873,12.14,-0.1388,3.912e-08,6.464e-05,7.162e-05,-40.4,-41.38,0.0443,0.2215,0.01874,-0.02555,12750000,-14710000,2.75,-2.5
PV_mid_84,tm,wo,tm,20.63,12810000,47.64,3389000,1.323,10.76,-0.1105,3.914e-08,7.14e-05,8.138e-05,-43.69,-42.73,0.03943,0.1971,0.01722,-0.02221,8461000,-10700000,2.5,-2.25
PV_mid_85,tm,wo,tm,18.82,11010000,53.5,3403000,1.583,8.725,-0.2982,4.146e-08,8.75e-05,0.0001013,-47.25,-49.96,0.03313,0.1656,0.01071,-0.02242,4409000,-6401000,2.25,-2.25
PV_mid_86,tm,wo,tm,21.37,14310000,44.29,3384000,1.128,11.71,0.07116,3.924e-08,6.573e-05,7.414e-05,-38.73,-41.45,0.04269,0.2134,0.02199,-0.0207,12240000,-13480000,2.75,-2.25
PV_mid_87,tm,wo,tm,21.5,14780000,41.07,3433000,0.9994,11.89,-0.5396,3.835e-08,6.681e-05,7.403e-05,-48.34,-41.59,0.0433,0.2165,0.01084,-0.03246,8866000,-12000000,2.5,-2.75
PV_mid_88,tm,wo,tm,20.2,13200000,46.47,3439000,1.16,10.23,-0.7333,3.92e-08,7.765e-05,8.735e-05,-45.54,-46.17,0.03802,0.1901,0.004699,-0.03332,4745000,-7118000,2.25,-2.75
PV_mid_89,tm,wo,tm,21.94,16460000,39.35,3436000,0.8744,12.51,-0.3542,3.904e-08,6.345e-05,6.958e-05,-42.37,-41.22,0.04565,0.2282,0.01526,-0.03039,12840000,-15470000,2.75,-2.75
PV_mid_90,tm,wo,wp,21.11,13820000,43.28,3413000,1.142,11.37,-0.3232,3.868e-08,6.904e-05,7.729e-05,-45.99,-42.12,0.0415,0.2075,0.01414,-0.02736,8757000,-11540000,2.5,-2.5
PV_mid_91,tm,wo,wp,19.56,12180000,49.97,3422000,1.345,9.511,-0.5145,4.018e-08,8.228e-05,9.352e-05,-46.81,-47.89,0.03568,0.1784,0.007781,-0.0279,4606000,-6823000,2.25,-2.5
PV_mid_92,tm,wo,wp,21.69,15290000,41.88,3413000,0.9873,12.14,-0.1388,3.912e-08,6.464e-05,7.162e-05,-40.4,-41.38,0.0443,0.2215,0.01874,-0.02555,12750000,-14710000,2.75,-2.5
PV_mid_93,tm,wo,wp,20.63,12810000,47.64,3389000,1.323,10.76,-0.1105,3.914e-08,7.14e-05,8.138e-05,-43.69,-42.73,0.03943,0.1971,0.01722,-0.02221,8461000,-10700000,2.5,-2.25
PV_mid_94,tm,wo,wp,18.82,11010000,53.5,3403000,1.583,8.725,-0.2982,4.146e-08,8.75e-05,0.0001013,-47.25,-49.96,0.03313,0.1656,0.01071,-0.02242,4409000,-6401000,2.25,-2.25
